Genotype,Timepoint,Tissue,Replicate,Homeologue,Expression
Duxford,21_DPA,Embryo,2,ASN_D2,0.175856637
Duxford,21_DPA,Embryo,3,ASN_D2,0.220368568
Duxford,21_DPA,Embryo,4,ASN_D2,0.131388908
Spark,21_DPA,Embryo,1,ASN_D2,0.054668924
Spark,21_DPA,Embryo,2,ASN_D2,0.104863241
Spark,21_DPA,Embryo,3,ASN_D2,0.234658531
Spark,21_DPA,Embryo,4,ASN_D2,0.177589763
Cadenza,28_DPA,Embryo,1,ASN_A2,0.40666078
Cadenza,28_DPA,Embryo,2,ASN_A2,0.225879549
Cadenza,28_DPA,Embryo,3,ASN_A2,0.302811788
Cadenza,28_DPA,Embryo,4,ASN_A2,0.123407764
Claire,28_DPA,Embryo,1,ASN_A2,0.121064652
Claire,28_DPA,Embryo,2,ASN_A2,0.08695294
Claire,28_DPA,Embryo,3,ASN_A2,0.320326555
Claire,28_DPA,Embryo,4,ASN_A2,0.321673956
Cadenza,28_DPA,Embryo,1,ASN_B2,0.083772716
Cadenza,28_DPA,Embryo,2,ASN_B2,0.067158709
Cadenza,28_DPA,Embryo,3,ASN_B2,0.053924072
Cadenza,28_DPA,Embryo,4,ASN_B2,0.033030895
Claire,28_DPA,Embryo,1,ASN_B2,0.000714347
Claire,28_DPA,Embryo,2,ASN_B2,0.000553326
Claire,28_DPA,Embryo,3,ASN_B2,0.001628622
Claire,28_DPA,Embryo,4,ASN_B2,0.000950698
Cadenza,28_DPA,Embryo,1,ASN_D2,0.052259993
Cadenza,28_DPA,Embryo,2,ASN_D2,0.013560918
Cadenza,28_DPA,Embryo,3,ASN_D2,0.028304035
Cadenza,28_DPA,Embryo,4,ASN_D2,0.012357455
Claire,28_DPA,Embryo,1,ASN_D2,0.013844804
Claire,28_DPA,Embryo,2,ASN_D2,0.005572234
Claire,28_DPA,Embryo,3,ASN_D2,0.06886856
Claire,28_DPA,Embryo,4,ASN_D2,0.021075602
Duxford,28_DPA,Embryo,1,ASN_A2,0.232848115
Duxford,28_DPA,Embryo,2,ASN_A2,0.503935198
Duxford,28_DPA,Embryo,3,ASN_A2,0.143154048
Duxford,28_DPA,Embryo,4,ASN_A2,0.223388251
Spark,28_DPA,Embryo,1,ASN_A2,0.196313215
Spark,28_DPA,Embryo,2,ASN_A2,0.197750597
Spark,28_DPA,Embryo,3,ASN_A2,0.14647721
Spark,28_DPA,Embryo,4,ASN_A2,0.088911688
Duxford,28_DPA,Embryo,1,ASN_B2,0.038281518
Duxford,28_DPA,Embryo,2,ASN_B2,0.070405349
Duxford,28_DPA,Embryo,3,ASN_B2,0.01417863
Duxford,28_DPA,Embryo,4,ASN_B2,0.05030119
Spark,28_DPA,Embryo,1,ASN_B2,0.00089616
Spark,28_DPA,Embryo,2,ASN_B2,0.001027283
Spark,28_DPA,Embryo,3,ASN_B2,0.000922855
Spark,28_DPA,Embryo,4,ASN_B2,0.000527954
Duxford,28_DPA,Embryo,1,ASN_D2,0.02032704
Duxford,28_DPA,Embryo,2,ASN_D2,0.046993992
Duxford,28_DPA,Embryo,3,ASN_D2,0.012166665
Duxford,28_DPA,Embryo,4,ASN_D2,0.056849684
Spark,28_DPA,Embryo,1,ASN_D2,0.018598758
Spark,28_DPA,Embryo,2,ASN_D2,0.012655381
Spark,28_DPA,Embryo,3,ASN_D2,0.02798126
Spark,28_DPA,Embryo,4,ASN_D2,0.024697564
