Variety,Asn,Treatment,ASN_B2,Season
Horatio,19.90457812,S-,Absent,2012-2013
Rowan,26.04853714,S-,Absent,2012-2013
Leeds,19.16235765,S-,Absent,2012-2013
Lancaster,20.02437061,S-,Present,2012-2013
Twister,29.66495227,S-,Absent,2012-2013
Myriad,24.65450002,S-,Absent,2012-2013
Panacea,14.49684474,S-,Absent,2012-2013
Revelation,26.15294397,S-,Absent,2012-2013
Viscount,22.60013215,S-,Absent,2012-2013
Dickens,9.477252843,S-,Absent,2012-2013
Duxford,22.57754231,S-,Present,2012-2013
Evolution,23.94975866,S-,Absent,2012-2013
Gator,20.61360902,S-,Absent,2012-2013
Kielder,11.5295496,S-,Present,2012-2013
Santiago,25.91861453,S-,Absent,2012-2013
Solace,41.22215034,S-,Absent,2012-2013
Goldengun,18.28251803,S-,Absent,2012-2013
Icebreaker,31.27965952,S-,Absent,2012-2013
Relay,11.62216396,S-,Present,2012-2013
SR3,10.31813563,S-,Absent,2012-2013
